index,page_count,print_type,avg_rating,rating_count,is_ebook
9811563241,171,BOOK,,,FALSE
1505714346,374,BOOK,,,FALSE
9.79E+12,300,BOOK,5,2,TRUE
1795409207,94,BOOK,,,FALSE
1484237986,368,BOOK,4,1,FALSE
9.78E+12,0,BOOK,,,FALSE
9.78E+12,648,BOOK,,,TRUE
387310738,738,BOOK,3,1,FALSE
9.78E+12,578,BOOK,5,1,TRUE
9.78E+12,333,BOOK,,,FALSE
9.79E+12,337,BOOK,,,TRUE
9.78E+12,740,BOOK,,,FALSE
3030909867,105,BOOK,,,FALSE
9.78E+12,98,BOOK,,,FALSE
1493938436,738,BOOK,3,1,FALSE
9.78E+12,272,BOOK,,,FALSE
9.78E+12,501,BOOK,,,FALSE
9.78E+12,442,BOOK,,,TRUE
3031044193,343,BOOK,,,FALSE
9.78E+12,510,BOOK,,,FALSE
9.78E+12,406,BOOK,,,TRUE
9.78E+12,228,BOOK,,,FALSE
PKEY:6610000168569,130,BOOK,,,TRUE
1489978526,359,BOOK,,,FALSE
1800567642,194,BOOK,,,FALSE
128021217,534,BOOK,,,FALSE
1119857201,0,BOOK,,,FALSE
9.78E+12,1516,BOOK,,,TRUE
9.78E+12,267,BOOK,,,TRUE
9.78E+12,354,BOOK,,,FALSE
9.78E+12,392,BOOK,,,FALSE
9.78E+12,466,BOOK,,,FALSE
9.78E+12,386,BOOK,,,TRUE
1617293873,272,BOOK,,,FALSE
9.78E+12,384,BOOK,,,TRUE
9.78E+12,536,BOOK,4.5,2,TRUE
9.78E+12,500,BOOK,4.5,2,FALSE
9811518157,178,BOOK,,,FALSE
9.78E+12,552,BOOK,,,TRUE
9.78E+12,495,BOOK,,,TRUE
9.78E+12,478,BOOK,,,TRUE
9.78E+12,225,BOOK,,,FALSE
9.78E+12,359,BOOK,,,FALSE
9.78E+12,244,BOOK,,,FALSE
1530826608,222,BOOK,,,FALSE
9.78E+12,400,BOOK,,,TRUE
9.79E+12,249,BOOK,,,TRUE
9.78E+12,414,BOOK,,,TRUE
9.79E+12,132,BOOK,,,TRUE
9.78E+12,99998,BOOK,,,TRUE
9.79E+12,428,BOOK,,,TRUE
9.78E+12,736,BOOK,,,TRUE
9.78E+12,384,BOOK,,,TRUE
9.79E+12,729,BOOK,,,TRUE
9.78E+12,196,BOOK,,,TRUE
9.79E+12,278,BOOK,,,TRUE
9.78E+12,242,BOOK,,,TRUE
